City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,65,0,12.66,clear sky
1,Ushuaia,AR,-54.8,-68.3,38.86,81,90,0.0,overcast clouds
2,Pangody,RU,65.85,74.4859,36.73,65,70,8.25,broken clouds
3,Buala,SB,-8.145,159.5921,80.01,82,9,5.86,clear sky
4,Anaconda,US,46.1285,-112.9423,61.95,26,100,6.17,overcast clouds
5,Sao Filipe,CV,14.8961,-24.4956,76.48,66,7,9.04,clear sky
6,Hasaki,JP,35.7333,140.8333,66.49,86,100,0.22,overcast clouds
7,Mataura,NZ,-46.1927,168.8643,43.68,87,90,2.26,overcast clouds
8,Vila Velha,BR,-20.3297,-40.2925,80.55,69,20,11.01,few clouds
9,Hobart,AU,-42.8794,147.3294,51.8,76,40,9.22,scattered clouds
10,Trud,BG,42.2333,24.7333,70.02,73,90,4.61,light rain
11,Panguna,PG,-6.3164,155.4848,67.15,96,33,2.19,scattered clouds
12,Rikitea,PF,-23.1203,-134.9692,76.55,83,98,14.29,overcast clouds
13,Tiksi,RU,71.6872,128.8694,43.41,66,87,8.9,overcast clouds
14,Bredasdorp,ZA,-34.5322,20.0403,51.8,54,7,6.91,clear sky
15,Menongue,AO,-14.6585,17.691,59.2,46,92,4.76,overcast clouds
16,Altay,CN,47.8667,88.1167,53.44,33,1,6.78,clear sky
17,Mahebourg,MU,-20.4081,57.7,75.49,78,20,9.22,few clouds
18,Pevek,RU,69.7008,170.3133,46.83,73,29,12.73,scattered clouds
19,Longyearbyen,SJ,78.2186,15.6401,37.4,75,0,8.05,clear sky
20,Tasiilaq,GL,65.6145,-37.6368,44.6,76,75,4.61,broken clouds
21,Vaini,TO,-21.2,-175.2,71.76,88,40,6.91,scattered clouds
22,Hermanus,ZA,-34.4187,19.2345,63.66,46,8,8.86,clear sky
23,Puerto Ayora,EC,-0.7393,-90.3518,82.36,87,24,5.01,few clouds
24,Huittinen,FI,61.1833,22.7,74.23,53,15,6.2,few clouds
25,Atuona,PF,-9.8,-139.0333,79.92,63,64,9.66,broken clouds
26,Pitelino,RU,54.5777,41.8145,57.24,94,100,7.63,overcast clouds
27,Punta Arenas,CL,-53.15,-70.9167,42.91,70,0,9.78,clear sky
28,Kaitangata,NZ,-46.2817,169.8464,48.0,96,72,1.99,light rain
29,Lumeje,AO,-11.55,20.7833,63.25,52,99,4.29,overcast clouds
30,Butaritari,KI,3.0707,172.7902,81.81,73,27,4.68,light rain
31,Oranjemund,NA,-28.55,16.4333,66.76,35,0,2.75,clear sky
32,Jamestown,US,42.097,-79.2353,85.08,45,1,11.99,clear sky
33,Turtas,RU,58.9417,69.1325,56.14,96,74,3.62,light rain
34,Avarua,CK,-21.2078,-159.775,71.65,68,75,4.61,broken clouds
35,Waipawa,NZ,-41.4122,175.5153,52.45,88,100,1.05,overcast clouds
36,Talnakh,RU,69.4865,88.3972,29.8,99,100,3.49,light snow
37,Albany,US,42.6001,-73.9662,92.08,40,64,1.01,broken clouds
38,San Patricio,US,28.017,-97.5169,91.81,64,3,17.58,clear sky
39,Bhawana,PK,31.5692,72.649,98.46,23,0,6.53,clear sky
40,Saint-Philippe,RE,-21.3585,55.7679,71.22,84,78,13.02,light rain
41,Khatanga,RU,71.9667,102.5,32.2,90,95,4.99,overcast clouds
42,Airai,TL,-8.9266,125.4092,55.67,86,98,2.8,overcast clouds
43,Atar,MR,20.5169,-13.0499,104.05,20,10,24.16,sand
44,Kavieng,PG,-2.5744,150.7967,81.27,76,92,4.59,light rain
45,Kapaa,US,22.0752,-159.319,80.58,76,75,1.99,light rain
46,Mogadishu,SO,2.0371,45.3438,79.29,85,98,20.87,overcast clouds
47,Salalah,OM,17.0151,54.0924,84.2,89,40,8.05,scattered clouds
48,Egvekinot,RU,66.3167,-179.1667,33.35,78,18,1.7,few clouds
49,Cayenne,GF,4.9333,-52.3333,84.24,79,75,3.0,broken clouds
50,Mar Del Plata,AR,-38.0023,-57.5575,57.99,59,75,1.99,broken clouds
51,Constitucion,CL,-35.3333,-72.4167,55.71,53,91,8.48,overcast clouds
52,Dikson,RU,73.5069,80.5464,30.07,86,100,10.33,overcast clouds
53,Victoria,HK,22.2855,114.1577,82.0,85,17,7.11,few clouds
54,Marquette,US,46.5333,-87.6335,89.04,49,96,10.8,overcast clouds
55,Thohoyandou,ZA,-22.9456,30.485,54.12,86,87,4.07,overcast clouds
56,Zabol,AF,32.25,67.25,78.96,12,0,8.7,clear sky
57,Susuman,RU,62.7833,148.1667,42.64,78,54,7.27,broken clouds
58,Dinhata,IN,26.1333,89.4667,80.38,85,37,9.86,heavy intensity rain
59,Lompoc,US,34.6391,-120.4579,70.7,81,90,4.0,overcast clouds
60,Xinxiang,CN,35.3089,113.8672,85.17,46,100,6.53,overcast clouds
61,Moanda,GA,-1.5575,13.2178,77.0,100,20,4.61,light rain
62,Miri,MY,4.4148,114.0089,77.14,94,20,5.12,few clouds
63,Cape Town,ZA,-33.9258,18.4232,70.21,34,0,12.01,clear sky
64,Busselton,AU,-33.65,115.3333,50.09,72,31,9.75,scattered clouds
65,Mount Gambier,AU,-37.8333,140.7667,55.31,76,75,17.27,broken clouds
66,Ghanzi,BW,-21.5667,21.7833,53.26,46,0,9.89,clear sky
67,Hovelhof,DE,51.8167,8.65,62.71,87,92,6.71,overcast clouds
68,Saldanha,ZA,-33.0117,17.9442,62.65,46,28,12.3,scattered clouds
69,Pekan,MY,3.4836,103.3996,77.11,85,88,4.23,overcast clouds
70,Chicama,PE,-7.8447,-79.1469,68.0,88,90,8.05,mist
71,Qaqortoq,GL,60.7167,-46.0333,57.7,80,100,7.52,overcast clouds
72,Norman Wells,CA,65.282,-126.8329,46.4,87,90,12.66,light rain
73,Kautokeino,NO,69.0125,23.0412,58.95,25,6,7.23,clear sky
74,Bluff,NZ,-46.6,168.3333,46.22,84,53,7.94,broken clouds
75,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,74,90,8.05,overcast clouds
76,Nikolayevsk-Na-Amure,RU,53.1406,140.73,40.37,96,100,4.68,overcast clouds
77,Udachnyy,RU,66.4167,112.4,43.05,75,95,14.58,light rain
78,Aksu,CN,41.1231,80.2644,80.17,20,92,11.61,overcast clouds
79,Nikolskoye,RU,59.7035,30.7861,69.8,52,0,4.47,clear sky
80,Amazar,RU,53.858,120.875,55.17,68,12,1.83,few clouds
81,Chapais,CA,49.7834,-74.8492,73.18,34,46,8.01,scattered clouds
82,Rognan,NO,67.0953,15.3878,68.76,49,52,5.53,broken clouds
83,Aksarka,RU,66.5606,67.7975,36.73,57,71,8.03,broken clouds
84,Margate,GB,51.3813,1.3862,66.11,82,49,8.1,scattered clouds
85,Nyzhni Sirohozy,UA,46.8484,34.3804,59.86,76,97,7.14,overcast clouds
